iter	Passed	Remaining
0	12	7398
1	22	6836
2	33	6678
3	43	6525
4	54	6491
5	64	6392
6	74	6315
7	84	6257
8	94	6206
9	105	6196
10	114	6151
11	124	6121
12	134	6093
13	145	6082
14	155	6053
15	164	6021
16	175	6017
17	185	6012
18	196	5996
19	206	6002
20	217	5984
21	227	5973
22	237	5951
23	246	5925
24	256	5901
25	265	5872
26	276	5862
27	286	5849
28	295	5820
29	305	5807
30	315	5793
31	325	5779
32	335	5762
33	345	5749
34	355	5737
35	365	5723
36	373	5690
37	383	5675
38	393	5654
39	403	5650
40	412	5626
41	422	5612
42	431	5592
43	440	5567
44	450	5550
45	460	5541
46	469	5525
47	480	5522
48	490	5511
49	499	5497
50	510	5491
51	520	5484
52	530	5471
53	539	5453
54	548	5436
55	558	5429
56	567	5409
57	577	5395
58	586	5377
59	595	5361
60	604	5338
61	613	5320
62	622	5302
63	631	5288
64	640	5274
65	650	5265
66	660	5256
67	670	5247
68	680	5238
69	690	5226
70	699	5212
71	709	5203
72	718	5189
73	728	5180
74	738	5172
75	748	5161
76	758	5153
77	768	5141
78	777	5127
79	786	5114
80	796	5104
81	805	5090
82	815	5077
83	824	5066
84	834	5057
85	844	5048
86	854	5039
87	864	5032
88	874	5021
89	884	5009
90	894	5001
91	902	4984
92	912	4975
93	922	4965
94	932	4956
95	941	4941
96	950	4930
97	960	4918
98	968	4903
99	978	4893
100	988	4882
101	997	4871
102	1007	4861
103	1017	4851
104	1028	4846
105	1038	4838
106	1047	4825
107	1057	4817
108	1067	4807
109	1077	4800
110	1087	4792
111	1096	4778
112	1107	4771
113	1115	4756
114	1125	4745
115	1135	4737
116	1145	4730
117	1156	4722
118	1167	4719
119	1177	4709
120	1186	4696
121	1196	4688
122	1207	4681
123	1217	4674
124	1226	4662
125	1236	4652
126	1247	4644
127	1256	4632
128	1266	4625
129	1277	4616
130	1286	4606
131	1296	4596
132	1305	4584
133	1315	4574
134	1324	4560
135	1333	4549
136	1343	4540
137	1352	4528
138	1362	4518
139	1373	4513
140	1384	4506
141	1394	4496
142	1404	4486
143	1414	4478
144	1423	4468
145	1433	4458
146	1443	4449
147	1453	4439
148	1464	4433
149	1473	4421
150	1483	4409
151	1492	4397
152	1500	4384
153	1509	4372
154	1519	4363
155	1530	4354
156	1538	4342
157	1549	4334
158	1558	4323
159	1569	4315
160	1578	4304
161	1588	4294
162	1598	4286
163	1609	4277
164	1618	4266
165	1627	4254
166	1638	4247
167	1647	4237
168	1657	4226
169	1666	4215
170	1676	4205
171	1686	4196
172	1696	4186
173	1705	4175
174	1715	4166
175	1725	4156
176	1734	4145
177	1743	4134
178	1754	4125
179	1764	4116
180	1773	4106
181	1783	4097
182	1793	4087
183	1803	4077
184	1813	4067
185	1821	4055
186	1831	4044
187	1839	4031
188	1849	4021
189	1859	4012
190	1869	4003
191	1879	3994
192	1889	3984
193	1899	3975
194	1910	3967
195	1920	3959
196	1931	3950
197	1941	3941
198	1951	3931
199	1960	3921
200	1970	3912
201	1979	3900
202	1989	3891
203	1999	3882
204	2009	3871
205	2019	3862
206	2029	3852
207	2038	3841
208	2048	3833
209	2059	3824
210	2068	3814
211	2079	3805
212	2088	3794
213	2098	3784
214	2108	3774
215	2118	3765
216	2129	3757
217	2139	3748
218	2149	3740
219	2159	3730
220	2169	3720
221	2179	3710
222	2189	3701
223	2199	3691
224	2208	3681
225	2219	3672
226	2228	3661
227	2236	3649
228	2247	3640
229	2258	3632
230	2267	3622
231	2278	3614
232	2287	3603
233	2298	3594
234	2308	3586
235	2319	3577
236	2329	3568
237	2340	3559
238	2349	3548
239	2358	3537
240	2368	3528
241	2378	3518
242	2387	3507
243	2398	3499
244	2408	3490
245	2419	3481
246	2428	3471
247	2439	3462
248	2449	3453
249	2459	3443
250	2469	3434
251	2479	3423
252	2489	3414
253	2499	3405
254	2510	3396
255	2521	3388
256	2531	3378
257	2540	3367
258	2550	3358
259	2560	3348
260	2571	3339
261	2581	3329
262	2590	3319
263	2601	3311
264	2611	3301
265	2621	3291
266	2632	3282
267	2642	3273
268	2652	3264
269	2663	3254
270	2673	3245
271	2683	3236
272	2693	3226
273	2703	3216
274	2712	3206
275	2721	3195
276	2730	3184
277	2740	3174
278	2750	3164
279	2760	3154
280	2769	3144
281	2780	3135
282	2791	3126
283	2800	3116
284	2810	3106
